date,line,ridership,line_name,ridership_2019,ridership_2018
2019-12-01,804,47329.0,Gold,47672.666666666664,50538.0
2021-01-01,806,15999.0,Expo,57985.333333333336,61035.416666666664
2021-02-01,806,17641.0,Expo,57985.333333333336,61035.416666666664
2020-01-01,806,55117.0,Expo,57985.333333333336,61035.416666666664
2020-02-01,806,57659.0,Expo,57985.333333333336,61035.416666666664
2020-03-01,806,32030.0,Expo,57985.333333333336,61035.416666666664
2020-04-01,806,12848.0,Expo,57985.333333333336,61035.416666666664
2020-05-01,806,15261.0,Expo,57985.333333333336,61035.416666666664
2020-06-01,806,18357.0,Expo,57985.333333333336,61035.416666666664
2020-07-01,806,18132.0,Expo,57985.333333333336,61035.416666666664
2020-08-01,806,18553.0,Expo,57985.333333333336,61035.416666666664
2020-09-01,806,18667.0,Expo,57985.333333333336,61035.416666666664
2020-10-01,806,18983.0,Expo,57985.333333333336,61035.416666666664
2020-11-01,806,18129.0,Expo,57985.333333333336,61035.416666666664
2020-12-01,806,16333.0,Expo,57985.333333333336,61035.416666666664
2019-02-01,806,61104.0,Expo,57985.333333333336,61035.416666666664
2019-03-01,806,61828.0,Expo,57985.333333333336,61035.416666666664
2019-04-01,806,62135.0,Expo,57985.333333333336,61035.416666666664
2019-05-01,806,61372.0,Expo,57985.333333333336,61035.416666666664
2019-06-01,806,61045.0,Expo,57985.333333333336,61035.416666666664
2019-07-01,806,58521.0,Expo,57985.333333333336,61035.416666666664
2019-08-01,806,56147.0,Expo,57985.333333333336,61035.416666666664
2019-09-01,806,54030.0,Expo,57985.333333333336,61035.416666666664
2019-10-01,806,53242.0,Expo,57985.333333333336,61035.416666666664
2019-11-01,806,51833.0,Expo,57985.333333333336,61035.416666666664
2019-12-01,806,52995.0,Expo,57985.333333333336,61035.416666666664
